node,gene_symbol,degree,weighted_degree,betweenness,closeness,eigenvector,x,y,hgnc_id,hugo_symbol,approved_gene_name,hgnc_status
8581,8581,3,2.132441467826163,0.0,0.28158976037235006,0.016766737337543105,0.22990147333951452,0.32388163539474096,,8581,,
84417,84417,3,2.0510622871635444,0.0007202233644266769,0.22783171521035597,0.005172661089592889,0.0647143494817758,0.09227838340451998,,84417,,
1828,1828,3,2.036425765631228,0.0,0.28478964401294493,0.0324619703466266,0.06995843613123612,0.2918983434704886,,1828,,
9568,9568,3,2.0168008124835763,0.0,0.31723403383720455,0.008138831439939119,0.26171576860414053,0.5189265808978875,,9568,,
203413,203413,3,2.0099238840876645,0.0,0.2925465603868384,0.00491881037963286,0.3161255539046974,0.5689577300141069,,203413,,
152110,152110,3,2.006936684456889,0.00015229392727964973,0.23717497167008667,0.0009667977402005016,0.20485834561552443,0.8901800125203111,,152110,,
150572,150572,3,1.9964630349737034,0.00043159635900227096,0.2743958613847353,0.018966129864331646,0.11162409219317734,0.12914678981728847,,150572,,
117195,117195,3,1.9691408493720153,0.00010152928485309982,0.24097585262633806,0.012416525832533144,0.09453273122056223,0.09395970985650734,,117195,,
158046,158046,2,1.3891926727192943,0.0,0.22714340187135187,0.0003571333344962319,0.25060410656852367,0.9965043303209821,,158046,,
203328,203328,2,1.3776738515388969,0.0,0.22714340187135187,0.000351842481863115,0.22968291574728494,1.0,,203328,,
1672,1672,2,1.3413108092974908,0.0,0.2733980582524272,0.019156086765071172,0.19716131216550428,0.1924458617294643,,1672,,
94122,94122,2,1.3216394728799323,0.0,0.2914126589899902,0.0030675900405135485,0.3431491513544898,0.6394774638190004,,94122,,
11122,11122,2,1.3147563751207887,0.0,0.2364291384258411,0.000704102524783924,0.23174178596801978,0.9227189746772672,,11122,,
10647,10647,1,0.9471140588101927,0.0,0.009708737864077669,1.9879917865394435e-48,0.5586457829479426,0.5239960632211501,,10647,,
4250,4250,1,0.9471140588101927,0.0,0.009708737864077669,1.9879917865394435e-48,0.6879907568839286,0.5239960632211501,,4250,,
6279,6279,1,0.9375667834968411,0.0,0.009708737864077669,1.532056746818773e-48,0.8706550260640139,0.5239960632211501,,6279,,
6280,6280,1,0.9375667834968411,0.0,0.009708737864077669,1.532056746818773e-48,1.0,0.5239960632211501,,6280,,
6289,6289,1,0.935609439528228,0.0,0.009708737864077669,1.4521468775204897e-48,0.43532751303200695,0.0,,6289,,
6288,6288,1,0.935609439528228,0.0,0.009708737864077669,1.4521468775204897e-48,0.5646724869679929,0.0,,6288,,
54490,54490,1,0.83522708245144,0.0,0.009708737864077669,8.634370578719556e-50,0.7146504045059783,0.5239960632211501,,54490,,
10720,10720,1,0.83522708245144,0.0,0.009708737864077669,8.634370578719556e-50,0.8439953784419644,0.5239960632211501,,10720,,
2893,2893,1,0.6875803791587283,0.0,0.21542826939661167,0.002200623772426742,0.0,0.08291873405438516,,2893,,
3887,3887,1,0.6638409180302319,0.0,0.2971718024482904,0.008112714213716,0.08937303626997241,0.5320202304761542,,3887,,
5649,5649,1,0.6561921505202113,0.0,0.03177405119152692,6.175880784494948e-28,0.47429912073100056,0.14168383360480233,,5649,,
8842,8842,1,0.6547905841731074,0.0,0.260153861658884,0.007390667760210089,0.22312092468824576,0.14241454187498306,,8842,,
5803,5803,1,0.6518541494319532,0.0,0.2619667805554616,0.0077508861069933484,0.025870261255756127,0.222506732958255,,5803,,
285386,285386,1,0.6507861676264537,0.0,0.2264592349982454,0.0003135764167289266,0.2786462593412359,0.9875546606474496,,285386,,
