source,target,source_symbol,target_symbol,correlation,abs_correlation,sign
5650,81706,5650,81706,0.6723931039271864,0.6723931039271864,positive
5650,3854,5650,3854,0.7960411561218593,0.7960411561218593,positive
5650,2568,5650,2568,0.73349718923443,0.73349718923443,positive
5650,3861,5650,3861,0.7138585514517859,0.7138585514517859,positive
5650,5655,5650,5655,0.7442964906737644,0.7442964906737644,positive
5650,6663,5650,6663,0.6752355051120755,0.6752355051120755,positive
5650,11202,5650,11202,0.8777257496889261,0.8777257496889261,positive
5650,8424,5650,8424,0.6695981700705904,0.6695981700705904,positive
5650,3872,5650,3872,0.777376218560585,0.777376218560585,positive
5650,8190,5650,8190,0.7267590477286661,0.7267590477286661,positive
5650,5268,5650,5268,0.7287846624951061,0.7287846624951061,positive
5650,6422,5650,6422,0.6542961265608938,0.6542961265608938,positive
5650,6273,5650,6273,0.6567063963441601,0.6567063963441601,positive
5650,1825,5650,1825,0.7555985555416083,0.7555985555416083,positive
5650,653145,5650,653145,0.7421673252448836,0.7421673252448836,positive
5650,25928,5650,25928,0.6775450803465881,0.6775450803465881,positive
5650,1830,5650,1830,0.7337889925797214,0.7337889925797214,positive
5650,3868,5650,3868,0.7071423805234363,0.7071423805234363,positive
5650,286887,5650,286887,0.6713740037147823,0.6713740037147823,positive
5650,2196,5650,2196,0.7343367976530507,0.7343367976530507,positive
5650,23650,5650,23650,0.7431205717045335,0.7431205717045335,positive
3853,3854,3853,3854,0.7356877018123045,0.7356877018123045,positive
3853,6273,3853,6273,0.7276133407210651,0.7276133407210651,positive
3853,653145,3853,653145,0.651173075533454,0.651173075533454,positive
3853,3868,3853,3868,0.7764413651060085,0.7764413651060085,positive
3853,286887,3853,286887,0.8721648869224353,0.8721648869224353,positive
3853,8581,3853,8581,0.6887442862506312,0.6887442862506312,positive
161835,10551,161835,10551,0.6642661543889495,0.6642661543889495,positive
161835,3169,161835,3169,0.7093372726655923,0.7093372726655923,positive
161835,155465,161835,155465,0.7367880240400349,0.7367880240400349,positive
161835,771,161835,771,0.6744707354261569,0.6744707354261569,positive
161835,3899,161835,3899,0.7064562822558371,0.7064562822558371,positive
161835,1602,161835,1602,0.6691182005826007,0.6691182005826007,positive
161835,222171,161835,222171,0.6547276897893988,0.6547276897893988,positive
161835,51442,161835,51442,-0.6693986019361595,0.6693986019361595,negative
161835,2099,161835,2099,0.7263513586238015,0.7263513586238015,positive
161835,2066,161835,2066,0.673244231670242,0.673244231670242,positive
161835,29968,161835,29968,-0.6508804680916405,0.6508804680916405,negative
161835,7802,161835,7802,0.659519168940222,0.659519168940222,positive
161835,79083,161835,79083,0.6869119035827038,0.6869119035827038,positive
9,155465,9,155465,0.7489770132647788,0.7489770132647788,positive
9,771,9,771,0.6570593370525594,0.6570593370525594,positive
9,152110,9,152110,0.6752460890398639,0.6752460890398639,positive
9,57758,9,57758,0.6694924597686902,0.6694924597686902,positive
9,2099,9,2099,0.7006432430138667,0.7006432430138667,positive
10551,3169,10551,3169,0.8303780090290126,0.8303780090290126,positive
10551,155465,10551,155465,0.8111199481753073,0.8111199481753073,positive
10551,771,10551,771,0.70408896566026,0.70408896566026,positive
10551,367,10551,367,0.6636816632669638,0.6636816632669638,positive
10551,419,10551,419,-0.6912938575459404,0.6912938575459404,negative
10551,80736,10551,80736,0.7638180649033108,0.7638180649033108,positive
10551,7031,10551,7031,0.7419300662444734,0.7419300662444734,positive
10551,222171,10551,222171,0.8068862939270749,0.8068862939270749,positive
10551,92291,10551,92291,0.6774659709457438,0.6774659709457438,positive
10551,2099,10551,2099,0.7155204421928796,0.7155204421928796,positive
10551,25803,10551,25803,0.7416423579358917,0.7416423579358917,positive
10551,2066,10551,2066,0.6753030798593351,0.6753030798593351,positive
10551,7802,10551,7802,0.6568413811461963,0.6568413811461963,positive
10551,8537,10551,8537,0.6518641955119804,0.6518641955119804,positive
10551,84072,10551,84072,-0.6971488092250837,0.6971488092250837,negative
10551,7033,10551,7033,0.7714753217094589,0.7714753217094589,positive
10551,79083,10551,79083,0.7918186285457439,0.7918186285457439,positive
3169,155465,3169,155465,0.7600786256415849,0.7600786256415849,positive
3169,53335,3169,53335,-0.6710968466925,0.6710968466925,negative
3169,771,3169,771,0.7455090339622921,0.7455090339622921,positive
3169,3899,3169,3899,0.6539992472021166,0.6539992472021166,positive
3169,367,3169,367,0.7752643658966869,0.7752643658966869,positive
3169,81706,3169,81706,-0.6727838120156377,0.6727838120156377,negative
3169,1602,3169,1602,0.6780660853529482,0.6780660853529482,positive
3169,419,3169,419,-0.7430909384683005,0.7430909384683005,negative
3169,80736,3169,80736,0.8012488069682928,0.8012488069682928,positive
3169,7031,3169,7031,0.705935266885693,0.705935266885693,positive
3169,222171,3169,222171,0.8193931679124571,0.8193931679124571,positive
3169,143941,3169,143941,0.6621899556047223,0.6621899556047223,positive
3169,57758,3169,57758,0.6569966627022136,0.6569966627022136,positive
3169,144568,3169,144568,-0.6859007617365086,0.6859007617365086,negative
3169,51442,3169,51442,-0.7090274686153912,0.7090274686153912,negative
3169,92291,3169,92291,0.7528148362140936,0.7528148362140936,positive
3169,94122,3169,94122,0.6701207362749353,0.6701207362749353,positive
3169,2099,3169,2099,0.754999046960105,0.754999046960105,positive
3169,9568,3169,9568,-0.6812203926511755,0.6812203926511755,negative
3169,25803,3169,25803,0.8575798610219563,0.8575798610219563,positive
3169,2066,3169,2066,0.7676970098548412,0.7676970098548412,positive
3169,203413,3169,203413,-0.6877477617989405,0.6877477617989405,negative
3169,29968,3169,29968,-0.6645863269929003,0.6645863269929003,negative
3169,7802,3169,7802,0.6945071404696317,0.6945071404696317,positive
3169,8537,3169,8537,0.7015082275976504,0.7015082275976504,positive
3169,3868,3169,3868,-0.6804280132442491,0.6804280132442491,negative
3169,84072,3169,84072,-0.7479996924644592,0.7479996924644592,negative
3169,7033,3169,7033,0.7903185132230944,0.7903185132230944,positive
3169,6833,3169,6833,0.7031194226022127,0.7031194226022127,positive
3169,79083,3169,79083,0.8418715448356782,0.8418715448356782,positive
155465,771,155465,771,0.771377113473299,0.771377113473299,positive
155465,3899,155465,3899,0.6850400655074886,0.6850400655074886,positive
155465,1602,155465,1602,0.6712970525478175,0.6712970525478175,positive
155465,419,155465,419,-0.6621848367406374,0.6621848367406374,negative
155465,80736,155465,80736,0.7519256030849764,0.7519256030849764,positive
155465,7031,155465,7031,0.7752707739191522,0.7752707739191522,positive
155465,256394,155465,256394,0.712882142520159,0.712882142520159,positive
155465,222171,155465,222171,0.7437482200482819,0.7437482200482819,positive
155465,57758,155465,57758,0.7124616674049052,0.7124616674049052,positive
155465,144568,155465,144568,-0.6699947578727834,0.6699947578727834,negative
155465,2099,155465,2099,0.8478960135579517,0.8478960135579517,positive
155465,25803,155465,25803,0.6561549098569761,0.6561549098569761,positive
155465,2066,155465,2066,0.7648774156937981,0.7648774156937981,positive
155465,29968,155465,29968,-0.7183537477733207,0.7183537477733207,negative
155465,7802,155465,7802,0.7673249290722447,0.7673249290722447,positive
155465,4137,155465,4137,0.6898153220300133,0.6898153220300133,positive
155465,2674,155465,2674,0.7086193872610395,0.7086193872610395,positive
155465,7033,155465,7033,0.7431109311560531,0.7431109311560531,positive
155465,6833,155465,6833,0.6625305387221097,0.6625305387221097,positive
155465,79083,155465,79083,0.7653741434887792,0.7653741434887792,positive
53335,81706,53335,81706,0.7099108414866159,0.7099108414866159,positive
53335,419,53335,419,0.6551257622599681,0.6551257622599681,positive
53335,2568,53335,2568,0.7321529629739412,0.7321529629739412,positive
53335,51442,53335,51442,0.6970784914673047,0.6970784914673047,positive
53335,11254,53335,11254,0.6594545942342134,0.6594545942342134,positive
53335,6663,53335,6663,0.6584283373337283,0.6584283373337283,positive
53335,2099,53335,2099,-0.6535322707709255,0.6535322707709255,negative
53335,8424,53335,8424,0.6739806143162871,0.6739806143162871,positive
53335,8190,53335,8190,0.7134540379581853,0.7134540379581853,positive
53335,6422,53335,6422,0.7409562117613437,0.7409562117613437,positive
53335,29968,53335,29968,0.6544845177879792,0.6544845177879792,positive
53335,23650,53335,23650,0.6804237829489468,0.6804237829489468,positive
53335,79083,53335,79083,-0.6615762415867188,0.6615762415867188,negative
771,367,771,367,0.6559853157290466,0.6559853157290466,positive
771,419,771,419,-0.6964279198686647,0.6964279198686647,negative
771,80736,771,80736,0.6635595010360895,0.6635595010360895,positive
771,222171,771,222171,0.6503139133645448,0.6503139133645448,positive
771,143941,771,143941,0.6664931237317724,0.6664931237317724,positive
771,57758,771,57758,0.7010885013868802,0.7010885013868802,positive
771,144568,771,144568,-0.6671678839437625,0.6671678839437625,negative
771,51442,771,51442,-0.6842989803253063,0.6842989803253063,negative
771,2099,771,2099,0.7884828897392598,0.7884828897392598,positive
771,2066,771,2066,0.7056048037299433,0.7056048037299433,positive
771,29968,771,29968,-0.6779588632931479,0.6779588632931479,negative
771,7802,771,7802,0.6940268882450514,0.6940268882450514,positive
771,4137,771,4137,0.6961957151679773,0.6961957151679773,positive
771,79083,771,79083,0.735500086390971,0.735500086390971,positive
3899,1602,3899,1602,0.6937660347924552,0.6937660347924552,positive
3899,144568,3899,144568,-0.6614520636337458,0.6614520636337458,negative
3899,2099,3899,2099,0.7483077202034258,0.7483077202034258,positive
3899,2066,3899,2066,0.7032907253186034,0.7032907253186034,positive
3899,29968,3899,29968,-0.6612889405562865,0.6612889405562865,negative
3899,7802,3899,7802,0.6944203765625568,0.6944203765625568,positive
3899,6833,3899,6833,0.668428698382255,0.668428698382255,positive
3899,79083,3899,79083,0.6590000176511442,0.6590000176511442,positive
367,419,367,419,-0.6584764812180223,0.6584764812180223,negative
367,80736,367,80736,0.6628011452577632,0.6628011452577632,positive
367,92291,367,92291,0.6506318219121145,0.6506318219121145,positive
367,2066,367,2066,0.6726709349611916,0.6726709349611916,positive
367,79083,367,79083,0.6699278942995817,0.6699278942995817,positive
25818,81706,25818,81706,0.6540660797391655,0.6540660797391655,positive
25818,3854,25818,3854,0.7626366853210509,0.7626366853210509,positive
25818,2568,25818,2568,0.7342106522048136,0.7342106522048136,positive
25818,3861,25818,3861,0.7426941827785695,0.7426941827785695,positive
25818,5655,25818,5655,0.7297234405503258,0.7297234405503258,positive
25818,6663,25818,6663,0.7127840918260571,0.7127840918260571,positive
25818,11202,25818,11202,0.8286619265605135,0.8286619265605135,positive
25818,8424,25818,8424,0.6544082454683332,0.6544082454683332,positive
25818,3872,25818,3872,0.790430029607653,0.790430029607653,positive
25818,8190,25818,8190,0.7372558717266318,0.7372558717266318,positive
25818,5268,25818,5268,0.6907411709543274,0.6907411709543274,positive
25818,6422,25818,6422,0.670940892178517,0.670940892178517,positive
25818,1825,25818,1825,0.7304301102016102,0.7304301102016102,positive
25818,653145,25818,653145,0.7334947073692144,0.7334947073692144,positive
25818,90019,25818,90019,0.6586852119928189,0.6586852119928189,positive
25818,25928,25818,25928,0.6762815208676345,0.6762815208676345,positive
25818,1830,25818,1830,0.6995438852883862,0.6995438852883862,positive
25818,3868,25818,3868,0.6759268849762785,0.6759268849762785,positive
25818,2196,25818,2196,0.7138822171089703,0.7138822171089703,positive
25818,342667,25818,342667,0.6633249417752138,0.6633249417752138,positive
25818,23650,25818,23650,0.7322135184165013,0.7322135184165013,positive
81706,419,81706,419,0.6545721337935458,0.6545721337935458,positive
81706,3854,81706,3854,0.742974212038017,0.742974212038017,positive
81706,2568,81706,2568,0.7178168720692982,0.7178168720692982,positive
81706,144568,81706,144568,0.6554920995925848,0.6554920995925848,positive
81706,3887,81706,3887,0.6638409180302319,0.6638409180302319,positive
81706,51442,81706,51442,0.741357786034049,0.741357786034049,positive
81706,2099,81706,2099,-0.6809267393437615,0.6809267393437615,negative
81706,8424,81706,8424,0.7110182461789138,0.7110182461789138,positive
81706,3872,81706,3872,0.6733326876111112,0.6733326876111112,positive
81706,8190,81706,8190,0.6621491385870145,0.6621491385870145,positive
81706,5268,81706,5268,0.6750909681873313,0.6750909681873313,positive
81706,6273,81706,6273,0.6553318658757274,0.6553318658757274,positive
81706,1825,81706,1825,0.673248902454994,0.673248902454994,positive
81706,29968,81706,29968,0.6791309672846567,0.6791309672846567,positive
81706,653145,81706,653145,0.6804938411272863,0.6804938411272863,positive
81706,3868,81706,3868,0.7685912002181519,0.7685912002181519,positive
81706,286887,81706,286887,0.6940574111467098,0.6940574111467098,positive
81706,23650,81706,23650,0.7080829964489004,0.7080829964489004,positive
1602,2099,1602,2099,0.7084523753403889,0.7084523753403889,positive
1602,2066,1602,2066,0.6957253408350778,0.6957253408350778,positive
1602,79083,1602,79083,0.664611922641561,0.664611922641561,positive
158046,203328,158046,203328,0.6838110748398585,0.6838110748398585,positive
6279,6280,6279,6280,0.9375667834968411,0.9375667834968411,positive
1308,3861,1308,3861,0.7631340686477848,0.7631340686477848,positive
1308,810,1308,810,0.7448432752761647,0.7448432752761647,positive
1308,3872,1308,3872,0.6699172157642934,0.6699172157642934,positive
1308,2893,1308,2893,0.6875803791587283,0.6875803791587283,positive
1308,84417,1308,84417,0.7148605402328825,0.7148605402328825,positive
1308,8626,1308,8626,0.8106220411562722,0.8106220411562722,positive
1308,2196,1308,2196,0.701960293946416,0.701960293946416,positive
419,222171,419,222171,-0.7058914253060687,0.7058914253060687,negative
419,144568,419,144568,0.6651891648201922,0.6651891648201922,positive
419,51442,419,51442,0.6859639610851438,0.6859639610851438,positive
419,2099,419,2099,-0.659460437405418,0.659460437405418,negative
419,25803,419,25803,-0.6582659899200818,0.6582659899200818,negative
419,2066,419,2066,-0.6637259805789655,0.6637259805789655,negative
419,84072,419,84072,0.6777892631562077,0.6777892631562077,positive
419,79083,419,79083,-0.7369773351817863,0.7369773351817863,negative
10647,4250,10647,4250,0.9471140588101927,0.9471140588101927,positive
130497,6663,130497,6663,0.7156164250676567,0.7156164250676567,positive
130497,8190,130497,8190,0.6925429086666459,0.6925429086666459,positive
130497,6422,130497,6422,0.746881275420535,0.746881275420535,positive
57863,125,57863,125,0.6730356134977075,0.6730356134977075,positive
57863,90865,57863,90865,0.7525894716250727,0.7525894716250727,positive
57863,146894,57863,146894,0.6993472890086032,0.6993472890086032,positive
57863,5649,57863,5649,0.6561921505202113,0.6561921505202113,positive
57863,2532,57863,2532,0.7797605343905394,0.7797605343905394,positive
57863,730,57863,730,0.7605457724880349,0.7605457724880349,positive
80736,7031,80736,7031,0.7180467533011629,0.7180467533011629,positive
80736,222171,80736,222171,0.7595774297211944,0.7595774297211944,positive
80736,2099,80736,2099,0.6742872746863212,0.6742872746863212,positive
80736,25803,80736,25803,0.7456531722892206,0.7456531722892206,positive
80736,2066,80736,2066,0.7019584556875342,0.7019584556875342,positive
80736,8537,80736,8537,0.6597375292415363,0.6597375292415363,positive
80736,84072,80736,84072,-0.6824316788100895,0.6824316788100895,negative
80736,7033,80736,7033,0.7580646807545185,0.7580646807545185,positive
80736,79083,80736,79083,0.7744813551561487,0.7744813551561487,positive
7031,222171,7031,222171,0.704020973777716,0.704020973777716,positive
7031,2099,7031,2099,0.6762718599858176,0.6762718599858176,positive
7031,25803,7031,25803,0.6634336611525476,0.6634336611525476,positive
7031,7033,7031,7033,0.8513702330825883,0.8513702330825883,positive
7031,79083,7031,79083,0.7157354855447866,0.7157354855447866,positive
256394,2099,256394,2099,0.6893008477937517,0.6893008477937517,positive
256394,7802,256394,7802,0.6788148089846896,0.6788148089846896,positive
222171,51442,222171,51442,-0.6519177851436102,0.6519177851436102,negative
222171,92291,222171,92291,0.6856540165693921,0.6856540165693921,positive
222171,2099,222171,2099,0.6845293356422979,0.6845293356422979,positive
222171,25803,222171,25803,0.7732378526883185,0.7732378526883185,positive
222171,2066,222171,2066,0.6885346277592371,0.6885346277592371,positive
222171,7802,222171,7802,0.6714000023298958,0.6714000023298958,positive
222171,8537,222171,8537,0.6821202088927355,0.6821202088927355,positive
222171,84072,222171,84072,-0.6890345544650155,0.6890345544650155,negative
222171,7033,222171,7033,0.7801608497229738,0.7801608497229738,positive
222171,6833,222171,6833,0.6675776788612637,0.6675776788612637,positive
222171,79083,222171,79083,0.8296118709554933,0.8296118709554933,positive
125,90865,125,90865,0.6989908920749442,0.6989908920749442,positive
125,146894,125,146894,0.8539294516766031,0.8539294516766031,positive
125,2532,125,2532,0.7766100631230137,0.7766100631230137,positive
125,730,125,730,0.8341196974098337,0.8341196974098337,positive
90865,146894,90865,146894,0.7472579019251954,0.7472579019251954,positive
90865,2532,90865,2532,0.8125259588275219,0.8125259588275219,positive
90865,730,90865,730,0.802207007588053,0.802207007588053,positive
3854,2568,3854,2568,0.762904745891698,0.762904745891698,positive
3854,3861,3854,3861,0.795826936935786,0.795826936935786,positive
3854,11254,3854,11254,0.6647413816531972,0.6647413816531972,positive
3854,6663,3854,6663,0.6840632996303315,0.6840632996303315,positive
3854,11202,3854,11202,0.7036403654598224,0.7036403654598224,positive
3854,8424,3854,8424,0.7150785138814636,0.7150785138814636,positive
3854,3872,3854,3872,0.8569943432073832,0.8569943432073832,positive
3854,8190,3854,8190,0.7401055190011767,0.7401055190011767,positive
3854,5268,3854,5268,0.7639877748257922,0.7639877748257922,positive
3854,6422,3854,6422,0.6883463122360977,0.6883463122360977,positive
3854,6273,3854,6273,0.7738185820122614,0.7738185820122614,positive
3854,1825,3854,1825,0.81638979554065,0.81638979554065,positive
3854,653145,3854,653145,0.8366425355282497,0.8366425355282497,positive
3854,25928,3854,25928,0.6939680544928408,0.6939680544928408,positive
3854,1830,3854,1830,0.7985708792507582,0.7985708792507582,positive
3854,3868,3854,3868,0.7905616367655666,0.7905616367655666,positive
3854,286887,3854,286887,0.8486046191638884,0.8486046191638884,positive
3854,2196,3854,2196,0.7583495516549776,0.7583495516549776,positive
3854,23650,3854,23650,0.7825240926807339,0.7825240926807339,positive
2568,3861,2568,3861,0.6988538785576692,0.6988538785576692,positive
2568,51442,2568,51442,0.7332311762293261,0.7332311762293261,positive
2568,11254,2568,11254,0.6715881717529273,0.6715881717529273,positive
2568,6663,2568,6663,0.8123613727180055,0.8123613727180055,positive
2568,1828,2568,1828,0.6599117848976555,0.6599117848976555,positive
2568,11202,2568,11202,0.6966228604111191,0.6966228604111191,positive
2568,8424,2568,8424,0.7493901642438707,0.7493901642438707,positive
2568,3872,2568,3872,0.7232216227932132,0.7232216227932132,positive
2568,8190,2568,8190,0.7841379068540528,0.7841379068540528,positive
2568,5268,2568,5268,0.7080749977514341,0.7080749977514341,positive
2568,6422,2568,6422,0.7864879151472581,0.7864879151472581,positive
2568,1825,2568,1825,0.7736011511411192,0.7736011511411192,positive
2568,653145,2568,653145,0.7219642107691416,0.7219642107691416,positive
2568,25928,2568,25928,0.6923396298535474,0.6923396298535474,positive
2568,1830,2568,1830,0.7138964899917735,0.7138964899917735,positive
2568,10568,2568,10568,0.6679002720007637,0.6679002720007637,positive
2568,3868,2568,3868,0.6699804380814361,0.6699804380814361,positive
2568,2196,2568,2196,0.7376333309810899,0.7376333309810899,positive
