feature,hugo_symbol,primary_subtype,consensus_importance,overall_consensus_importance,rf_overall_importance,lr_overall_importance,rf_importance_basal,lr_importance_basal,consensus_basal,rf_importance_her2,lr_importance_her2,consensus_her2,rf_importance_luminal_A,lr_importance_luminal_A,consensus_luminal_A,rf_importance_luminal_B,lr_importance_luminal_B,consensus_luminal_B,rf_importance_normal,lr_importance_normal,consensus_normal,network_rank,is_elite_signature,network_primary_subtype,network_node_id
155465,AGR3,basal,0.3408412747554489,0.2669784970287307,0.002563320098847134,0.008539932779967785,0.0025834009545542044,0.007745345123112202,0.3408412747554489,0.0032209428713449433,0.013604463078081608,0.3332159459365608,0.003247691541351574,0.009693610481917858,0.3043261267555434,0.002941650216401237,0.01143187377601862,0.2875304874536649,0.000822914910583714,0.00022437478764913976,0.06897865024243569,19,True,basal,AGR3
5653,KLK6,luminal_B,0.31512374302448026,0.15883472904578233,0.00033547667006873625,0.008509362116456032,0.00011410207646502153,0.0048924642615020275,0.1439852686445292,0.0002602734009257066,0.005586011800915003,0.0962728749363582,0.0003594373828403953,0.007873442023992538,0.14543760220756383,0.000513715958430505,0.02127338945865631,0.31512374302448026,0.00042985453168205284,0.0029215009417384863,0.09335415641598006,10,False,luminal_B,KLK6
5650,KLK7,luminal_B,0.30285772664962235,0.15366211393036547,0.0001787970027755853,0.008889260701835155,0.00019558112620439365,0.0014220348093658686,0.0494425008716973,0.00013400617516219526,0.004402485676109791,0.07316001588689372,0.00010858955213671196,0.007973325438797474,0.13588639382198023,0.0003836397524580791,0.020801065489649773,0.30285772664962235,7.216840791654653e-05,0.009847396984696388,0.20696393242163375,11,False,luminal_B,KLK7
79192,IRX1,luminal_B,0.30032582602933844,0.18112368281846844,0.0008167852855374954,0.008219191804528236,0.0001816422371422831,0.0023898151703178883,0.07621969513180854,0.0001808233011214527,0.00441308319568634,0.07511075196158935,0.0011458378862797501,0.007797775790095329,0.17929114653022984,0.0017726124647941552,0.016134828329086304,0.30032582602933844,0.000803010538349836,0.010360459797084332,0.2746709944393761,2,False,luminal_B,IRX1
53335,BCL11A,basal,0.2974376296457929,0.1810821870431781,0.001296834932883252,0.006278143730014563,0.0024639033047697133,0.006412122864276171,0.2974376296457929,0.0007056529989095215,0.002606351859867573,0.06721650666328649,0.0013511487818056768,0.005554885137826204,0.15151704030540486,0.0011856928003742058,0.01014040969312191,0.1918603501154984,0.0007777767785571424,0.0066769481636583805,0.19737940848590785,20,False,basal,BCL11A
3899,AFF3,her2,0.2840484203135184,0.2163053301449014,0.0015581496215480932,0.008093010634183884,0.0023133595188781094,0.005748755298554897,0.27156283195826325,0.0015766843679648624,0.014483769424259663,0.2840484203135184,0.00139948146447803,0.00017030443996191025,0.06499645224861406,0.0016543130882891277,0.013257309794425964,0.25551077390611515,0.0008469096681303367,0.006804911885410547,0.20540817229799607,23,False,her2,AFF3
84072,HORMAD1,basal,0.28277140795135614,0.1254473173936459,0.0001221170718592475,0.0056093656457960606,0.0002615925016846242,0.009544326923787594,0.28277140795135614,0.00018265051285203254,0.004479044117033482,0.07620003116922017,6.064307309960336e-05,0.0016664870781823993,0.02988002107609334,7.54754243809859e-05,0.002953094197437167,0.043773566528785515,3.0223847278991598e-05,0.009403876028954983,0.1946115602427744,35,True,basal,HORMAD1
149563,SRARP,luminal_A,0.27448558039278304,0.1872995293571912,0.0008553036521988146,0.008048281073570251,0.0015384828528720077,0.007080109789967537,0.2729020531015145,0.0005153492212535871,0.006052722223103046,0.11322252839368765,0.0009650660254792376,0.014067970216274261,0.27448558039278304,0.000672433282892826,0.009883355349302292,0.16555234561876692,0.0005851868784964139,0.003157246159389615,0.11033513927920399,5,False,luminal_A,SRARP
771,CA12,luminal_A,0.25800874541052726,0.11990855778966658,0.00032251340235654936,0.00612248620018363,0.0003602099656114908,0.0019040374318137765,0.07083808650422488,0.000521090198655075,0.010176773183047771,0.17718600361643874,0.0001390060372482122,0.015306247398257256,0.25800874541052726,0.0005364393436832778,5.9184680139878765e-05,0.02443523439650207,5.5821466584690704e-05,0.0031661877874284983,0.06907471902063989,21,False,luminal_A,CA12
1602,DACH1,her2,0.25701856849636734,0.1237927500629521,6.401453710414935e-05,0.007574263960123062,6.158253331627098e-05,0.0013974010944366455,0.042449929876350594,5.310538066257636e-05,0.016497308388352394,0.25701856849636734,8.313834601558588e-05,0.01015650387853384,0.17070485209826042,7.558710172806249e-05,0.00877915695309639,0.12388728347685607,4.6659323798251044e-05,0.0010409513488411903,0.024903116366926038,29,False,her2,DACH1
