true_class,prob_basal,prob_her2,prob_luminal_A,prob_luminal_B,prob_normal
basal,0.8996826318496706,0.04230769287855844,0.011619794722895748,0.030504995934686113,0.015884884614189042
basal,0.8015293505517387,0.09608952591828013,0.01707184805861077,0.049113134401435346,0.036196141069934996
her2,0.11836518463544966,0.4598691439073657,0.1936296254274232,0.08883586476070413,0.1393001812690574
normal,0.055606035161160174,0.4316514367704496,0.239633060395306,0.04415914191554284,0.22895032575754182
luminal_A,0.004801563462264338,0.02106825196573124,0.8583439249508381,0.05913577002368472,0.0566504895974815
luminal_A,0.024977556060291926,0.051541621936320656,0.7588208794639163,0.048657973349283665,0.11600196919018774
luminal_B,0.015957510988270855,0.10186093163314887,0.31604921714280193,0.5466517786586814,0.01948056157709676
her2,0.0253263564964348,0.43439961184523757,0.13907386725225976,0.3769373162497203,0.02426284815634717
her2,0.06701633314701187,0.5549017595232402,0.15282251744315153,0.10186572781917866,0.12339366206741804
luminal_B,0.017512231157592477,0.21205079561595472,0.1125103575948609,0.6510284439388758,0.00689817169271554
luminal_A,0.014763115594180025,0.024356712432110267,0.508698574034388,0.018503669148053112,0.4336779287912687
basal,0.7310210477643129,0.042602899636515,0.022022391909895314,0.014143077660229944,0.19021058302904678
luminal_A,0.007816915513016633,0.027725482355248125,0.8239017609958972,0.06652436607380867,0.07403147506202959
luminal_A,0.004912635152853919,0.024280146709076852,0.9034493920080509,0.05085579135569669,0.016502034774322095
her2,0.3145831565026306,0.4744049753134242,0.039556416370591686,0.13379517025995583,0.037660281553397505
luminal_A,0.012599770431716067,0.05836007544688776,0.7586041350315759,0.06238337492906274,0.10805264416075716
luminal_A,0.0536625961358473,0.11966548017310752,0.46230641776759,0.1405417807805167,0.22382372514293852
her2,0.13450787245047452,0.5533391496491437,0.07724312714998785,0.13897194035029348,0.09593791040010079
luminal_A,0.0029873150481220492,0.012603346442073381,0.9156687420801592,0.042317870990083106,0.026422725439562676
luminal_A,0.0016461731890795813,0.01222809101258445,0.8749692370793914,0.10450905884819559,0.006647439870749469
luminal_A,0.06307738505678802,0.20375218805036732,0.3157909044158014,0.27980042280193596,0.13757909967510756
basal,0.9486681298219309,0.021788024253821772,0.007083493171606189,0.007136376990156772,0.015323975762484471
luminal_A,0.007648664910416452,0.06823903546073277,0.7759636236435714,0.111842481806503,0.03630619417877669
basal,0.8592850169270317,0.06775278516595651,0.02031688348593719,0.0164082935229321,0.036237020898142853
basal,0.853256676867847,0.024796629159416883,0.015031272401781155,0.014420134093580329,0.09249528747737473
luminal_A,0.011466913042834903,0.03873051413989885,0.7736737033899744,0.08050083693242494,0.09562803249486757
luminal_A,0.014493835604582398,0.11844385471127541,0.47635743171289746,0.35485908577883774,0.0358457921924074
basal,0.8974739501740153,0.025778470966647215,0.013837581002267025,0.019499003026770784,0.04341099483029985
luminal_A,0.008635384376454535,0.03709294342717744,0.7126081440879939,0.21960897771558913,0.022054550392786025
luminal_A,0.01161946016848406,0.11070857207674697,0.6525312603199703,0.2035922237361362,0.021548483698663357
luminal_B,0.007782654052462924,0.059273810042536894,0.4198660505756835,0.49727190875774047,0.01580557657157615
normal,0.1265657377524373,0.09719442086185057,0.3768878748989032,0.05041267861328067,0.3489392878735281
luminal_A,0.06731422789736281,0.10796176243079873,0.3594434846114487,0.38487767708466675,0.08040284797572315
luminal_B,0.011060641823874982,0.16401447120338944,0.2828413541697561,0.5299162044494342,0.012167328353545677
luminal_A,0.01073393067421175,0.07014986293446834,0.39414651817108004,0.5045619657175504,0.02040772250268934
luminal_A,0.012629513389302129,0.04246377316953927,0.6219877549250085,0.2983511274428091,0.02456783107334158
normal,0.08952837278868202,0.06528085707491507,0.11468407504842117,0.023544506926468197,0.7069621881615135
luminal_A,0.00626711993722193,0.052812194731927935,0.4710622800738478,0.4434380682556789,0.026420337001323888
luminal_B,0.038681762686207946,0.15639565225279822,0.4353655510622287,0.34481327627439795,0.024743757724367245
her2,0.10627639775776263,0.4760566638547817,0.1695596519469629,0.08076773018724294,0.16733955625324967
luminal_A,0.02774206624332169,0.10728718566622712,0.2889481090412637,0.5268647004755059,0.04915793857368135
basal,0.717378832167634,0.03471108708655746,0.026420424808620706,0.01789947768030932,0.2035901782568782
luminal_A,0.0010176112281646795,0.006871513211146066,0.9281531225273995,0.055593034362908876,0.008364718670381209
luminal_A,0.004823384860662448,0.02283145242792654,0.8954986245979245,0.04512295383550561,0.0317235842779813
luminal_A,0.011213689634697049,0.044505036255304706,0.7838304877007304,0.13368755851617825,0.026763227893089936
luminal_A,0.011445022071938246,0.05095572355405772,0.26265511446141776,0.6541919797204815,0.020752160192104598
luminal_A,0.025776077919220767,0.08943722114736394,0.5651723573367788,0.22344794605562576,0.09616639754101114
her2,0.040900221974611906,0.766150139965583,0.038557134896725846,0.14259452986714954,0.011797973295929885
luminal_A,0.0016023158969464273,0.024715473501873263,0.7274994945136534,0.23843897070785597,0.007743745379671527
luminal_A,0.011773964019844204,0.09863106553017978,0.14102525916821412,0.7282557394651303,0.020313971816631183
basal,0.8209367675481966,0.0267810465788642,0.020654918404295966,0.01413656403120689,0.11749070343743642
luminal_A,0.07959440567215656,0.21026041153942213,0.5180395948195491,0.08636610268469942,0.10573948528417326
luminal_A,0.02185226446120453,0.09412259747760168,0.4871226005403632,0.3347653267972761,0.06213721072355438
her2,0.029376880204334307,0.6461736638486789,0.120388785520464,0.14004923207270703,0.0640114383538157
luminal_A,0.012673407270132178,0.0804591347245036,0.6640934349598442,0.19693914470230536,0.045834878343215466
basal,0.8980063026829722,0.038484718143371725,0.013560080213309388,0.018173023645388312,0.03177587531495828
luminal_A,0.05479513484062205,0.16286451720395956,0.3652793862886569,0.3295436704900937,0.087517291176668
luminal_A,0.00954752630605046,0.023978523132803343,0.7895962000813307,0.03969338571571263,0.13718436476410323
luminal_B,0.05545502031375182,0.22318640163866507,0.24162854277610318,0.38942791581183384,0.09030211945964636
luminal_A,0.03133889818709173,0.0507382663429345,0.7231222287496277,0.05063741779581451,0.14416318892453106
luminal_A,0.03375318582498286,0.09128678232707754,0.6032189868114354,0.08787561850749087,0.1838654265290136
luminal_B,0.06357230876505929,0.08378806757056732,0.08650509043637845,0.7541363840431269,0.011998149184867963
her2,0.054311214208930175,0.6254005437868968,0.0718662982644507,0.2291851925545541,0.019236751185168377
basal,0.8555292335020392,0.05018732811260273,0.022847428675274256,0.021697795166525147,0.04973821454355861
luminal_A,0.008976458859005764,0.027377252805083498,0.8329349437866927,0.06041094829431059,0.07030039625490721
luminal_A,0.02966530455532732,0.09897207118893996,0.6877425754589024,0.09111178904877153,0.09250825974805907
basal,0.7086903640566848,0.13371532467145497,0.029526989421155805,0.0728676441228406,0.05519967772786391
basal,0.47601242816251604,0.3922833503784777,0.029818058985638267,0.04585229818064068,0.05603386429272688
luminal_B,0.04512238622574106,0.17610585399191886,0.06514256873713856,0.6956438185730465,0.017985372472155006
luminal_B,0.05034633184672277,0.1517486554260684,0.1965504541458032,0.5698264613435285,0.03152809723787769
luminal_B,0.015780555571712963,0.07977871046743581,0.11580015447282684,0.7726082399330453,0.016032339554979017
basal,0.8394199138404239,0.03501306406143348,0.01612205836475663,0.019286599465803935,0.09015836426758227
luminal_B,0.027293820574805713,0.11998563272278745,0.14348707636587976,0.6839974235669082,0.025236046769619082
basal,0.9211919615177687,0.029748818790663496,0.007823795819395112,0.016079070180397025,0.025156353691775688
luminal_A,0.020587694413168423,0.09334616260809009,0.5392257870963275,0.3179810685492234,0.028859287333190826
luminal_B,0.010563370757639159,0.07274573362619195,0.11742238118358049,0.7883519748934121,0.010916539539175672
luminal_A,0.022166379419137367,0.10754753480411176,0.5075232900935899,0.29952671663829994,0.06323607904486121
luminal_B,0.09763727153070331,0.10408818202092765,0.10588492965251264,0.6751651730588365,0.01722444373701911
basal,0.7962519819994138,0.07523861541118845,0.030813908179997813,0.05283262380856455,0.044862870600835734
luminal_A,0.01712139027211551,0.08320715901644778,0.48215349845703553,0.3863371266570799,0.03118082559732101
luminal_A,0.005740254797577516,0.016834029030501532,0.8524511628198753,0.026804363097746566,0.09817019025429952
luminal_B,0.04108353894102381,0.34040867582389805,0.2296341582408386,0.33935199758912676,0.04952162940511246
luminal_A,0.004536074115545287,0.033149387733346705,0.7977768392510254,0.15721525209543005,0.007322446804652685
luminal_A,0.015192530983039163,0.06928316077154333,0.8028953139977608,0.07148512993248572,0.04114386431517051
luminal_B,0.009501668993672248,0.11462941818407486,0.09331486848782755,0.7720586878789171,0.01049535645550785
luminal_A,0.03555527674689939,0.08945731788156229,0.31713441377294593,0.5363831332403268,0.021469858358265228
basal,0.9628319739216754,0.011296742844559879,0.004776161201774911,0.003784670231729055,0.017310451800260574
luminal_A,0.005630640218127893,0.034794022309190056,0.8374451049197454,0.11284649942869496,0.00928373312424221
her2,0.06097127080660198,0.7716827971249104,0.05991841069606738,0.07625748203330239,0.031170039339118407
luminal_B,0.07809105339636653,0.2742041855375116,0.13652921910254678,0.4768375627027575,0.034337979260817594
luminal_A,0.020829191651799587,0.04229590438504569,0.7385442093847231,0.09254488289042291,0.10578581168800937
basal,0.8324692925006208,0.0672355636397392,0.01616936412800172,0.03617616286801307,0.04794961686362502
basal,0.8409802200257956,0.06482621372286816,0.02346743330758432,0.03606546333014123,0.03466066961361079
luminal_A,0.011107357216452864,0.012713070385004523,0.5500030208500176,0.009491996578352306,0.4166845549701723
luminal_A,0.0028622056989496265,0.02916081577997221,0.860227710376281,0.08831313445851208,0.019436133686285238
luminal_A,0.00768212845984718,0.02236948882194627,0.5788723644329036,0.024991878093853913,0.36608414019144914
luminal_A,0.03640806925006703,0.029627320465056645,0.5700356844278881,0.06544351186536243,0.29848541399162604
her2,0.03950644267068623,0.6691268955428643,0.14355769851186123,0.0870704237308105,0.06073853954377782
