rank,original_gene_id,hugo_symbol,mean_abs_shap_overall
1175,2591,GALNT3,5.60630273036267e-05
1176,162333,MARCHF10,5.5921606710540344e-05
1177,3991,LIPE,5.591624565843215e-05
1178,64518,TEKT3,5.5872504027824804e-05
1179,1476,CSTB,5.5846345451982904e-05
1180,9630,GNA14,5.5797646621797435e-05
1181,375061,FAM89A,5.563003461223674e-05
1182,27314,RAB30,5.54673420085053e-05
1183,55071,C9orf40,5.541778211777277e-05
1184,1470,CST2,5.5243666889742444e-05
1185,5465,PPARA,5.50957535760177e-05
1186,80108,ZFP2,5.488865264463049e-05
1187,7136,TNNI2,5.4824102641224996e-05
1188,4902,NRTN,5.469124946051178e-05
1189,64799,IQCH,5.456647600317892e-05
1190,285676,ZNF454,5.423807412001257e-05
1191,27074,LAMP3,5.4231818207973105e-05
1192,256714,MAP7D2,5.406391238060098e-05
1193,1036,CDO1,5.397252242865232e-05
1194,284992,CCDC150,5.390266761495406e-05
1195,195814,SDR16C5,5.3620049738051275e-05
1196,9466,IL27RA,5.354796502214654e-05
1197,57512,GPR158,5.3420791015550824e-05
1198,4783,NFIL3,5.338030531353576e-05
1199,5570,PKIB,5.336169095091909e-05
1200,9415,FADS2,5.3059586032253874e-05
1201,7039,TGFA,5.302278755600398e-05
1202,59336,PRDM13,5.2953892183794446e-05
1203,149428,BNIPL,5.2943229784040256e-05
1204,8399,PLA2G10,5.289940823287472e-05
1205,170689,ADAMTS15,5.2844675827274776e-05
1206,342897,NCCRP1,5.279926592843896e-05
1207,321,APBA2,5.278094333733561e-05
1208,55137,FIGN,5.268256562634368e-05
1209,255426,RASGEF1C,5.262995203865637e-05
1210,8544,PIR,5.262359528484863e-05
1211,8437,RASAL1,5.262213322558598e-05
1212,688,KLF5,5.217575791793494e-05
1213,4435,CITED1,5.205038697826778e-05
1214,1287,COL4A5,5.194158219185524e-05
1215,124359,CDYL2,5.180085218856418e-05
1216,3930,LBR,5.17087330784926e-05
1217,8842,PROM1,5.1673130188677796e-05
1218,9543,IGDCC3,5.147614013505602e-05
1219,284339,TMEM145,5.143825679692748e-05
1220,7644,ZNF91,5.132865527121542e-05
1221,10568,SLC34A2,5.123749293309736e-05
1222,6751,SSTR1,5.109476242715773e-05
1223,10202,DHRS2,5.094252008626263e-05
1224,55890,GPRC5C,5.09331909216723e-05
1225,5923,RASGRF1,5.072155278370388e-05
1226,84649,DGAT2,5.069785865276764e-05
1227,55553,SOX6,5.061430676190251e-05
1228,27254,CSDC2,5.052466773584065e-05
1229,9370,ADIPOQ,5.041744670671536e-05
1230,10205,MPZL2,5.041001010339332e-05
1231,7379,UPK2,5.035913470367678e-05
1232,153643,FAM81B,5.0296143554519056e-05
1233,2206,MS4A2,5.02692697220269e-05
1234,56938,BMAL2,5.013513207848886e-05
1235,6523,SLC5A1,4.9970855571112876e-05
1236,2001,ELF5,4.991824458459716e-05
1237,761,CA3,4.980444345371124e-05
1238,50940,PDE11A,4.973624277989214e-05
1239,27134,TJP3,4.969630501686928e-05
1240,23268,DNMBP,4.966657097992508e-05
1241,133121,ENPP6,4.9607203467084464e-05
1242,9508,ADAMTS3,4.954947820900712e-05
1243,11081,KERA,4.949301031634792e-05
1244,54821,ERCC6L,4.947408008802595e-05
1245,5214,PFKP,4.944358358930918e-05
1246,389816,LRRC26,4.941735057038273e-05
1247,55240,STEAP3,4.92361814228819e-05
1248,284266,SIGLEC15,4.915471143466663e-05
1249,6689,SPIB,4.9101102737852564e-05
1250,2348,FOLR1,4.898641773197251e-05
1251,1381,CRABP1,4.8914542295489276e-05
1252,132946,ARL9,4.873006692688347e-05
1253,65055,REEP1,4.869874119788262e-05
1254,6318,SERPINB4,4.8677531325385234e-05
1255,2297,FOXD1,4.862929901888561e-05
1256,9622,KLK4,4.860139795912983e-05
1257,92312,MEX3A,4.8348973776577594e-05
1258,79931,TNIP3,4.827321114596576e-05
1259,3889,KRT83,4.8253002849743316e-05
1260,27019,DNAI1,4.823731266517257e-05
1261,3732,CD82,4.8233573922043154e-05
1262,2867,FFAR2,4.8229134080425326e-05
1263,5618,PRLR,4.815755678011054e-05
1264,92960,PEX11G,4.811374955851174e-05
1265,10351,ABCA8,4.8081139348936045e-05
1266,10402,ST3GAL6,4.806275862862449e-05
1267,4685,NCAM2,4.80547543872404e-05
1268,25902,MTHFD1L,4.800258168877863e-05
1269,1300,COL10A1,4.779516120144722e-05
1270,6820,SULT2B1,4.744325645915786e-05
1271,22996,TTC39A,4.7294081499373864e-05
1272,10512,SEMA3C,4.7120105585893066e-05
1273,79605,PGBD5,4.702489512799114e-05
1274,3875,KRT18,4.687306326605526e-05
1275,3892,KRT86,4.680497832378041e-05
1276,957,ENTPD5,4.6789076794727263e-05
1277,148398,SAMD11,4.668973622472052e-05
1278,57010,CABP4,4.6620891955055684e-05
1279,144321,GLIPR1L2,4.6557105082960496e-05
1280,8543,LMO4,4.643586960939505e-05
1281,3934,LCN2,4.643563448221361e-05
1282,79054,TRPM8,4.639429212658825e-05
