feature_index,original_gene_id,hugo_symbol
440,197021,LCTL
441,197257,LDHD
442,199920,FYB2
443,199974,CYP4Z1
444,2001,ELF5
445,200162,SPAG17
446,200315,APOBEC3A
447,200558,APLF
448,2006,ELN
449,200845,KCTD6
450,201294,UNC13D
451,201456,FBXO15
452,2016,EMX1
453,201895,SMIM14
454,2019,EN1
455,202151,RANBP3L
456,202243,CCDC125
457,2023,ENO1
458,202333,CMYA5
459,203111,ERICH5
460,203286,ANKS6
461,203328,SUSD3
462,203413,CT83
463,203447,NRK
464,203522,INTS6L
465,2047,EPHB1
466,2049,EPHB3
467,2051,EPHB6
468,2064,ERBB2
469,2065,ERBB3
470,2066,ERBB4
471,2099,ESR1
472,21,ABCA3
473,2118,ETV4
474,214,ALCAM
475,2146,EZH2
476,2151,F2RL2
477,2152,F3
478,2155,F7
479,2159,F10
480,2166,FAAH
481,2171,FABP5
482,2173,FABP7
483,2175,FANCA
484,2178,FANCE
485,2187,FANCB
486,219348,PLAC9
487,2194,FASN
488,2195,FAT1
489,2196,FAT2
490,219621,CABCOCO1
491,219623,TMEM26
492,219654,ZCCHC24
493,219970,GLYATL2
494,220,ALDH1A3
495,220042,DDIAS
496,220134,SKA1
497,220136,CFAP53
498,220202,ATOH7
499,2203,FBP1
500,2205,FCER1A
501,2206,MS4A2
502,221061,FAM171A1
503,221074,SLC39A12
504,221091,LRRN4CL
505,221150,SKA3
506,221662,RBM24
507,221806,VWDE
508,221914,GPC2
509,222,ALDH3B2
510,2220,FCN2
511,222008,VSTM2A
512,222171,PRR15
513,222183,SRRM3
514,222223,ELAPOR2
515,222584,SACK1B
516,223075,ITPRID1
517,2247,FGF2
518,2255,FGF10
519,2256,FGF11
520,2259,FGF14
521,22802,CLCA4
522,22808,MRAS
523,22873,DZIP1
524,22885,ABLIM3
525,22901,ARSG
526,22915,MMRN1
527,22943,DKK1
528,2296,FOXC1
529,2297,FOXD1
530,22974,TPX2
531,22977,AKR7A3
532,22983,MAST1
533,22996,TTC39A
534,22997,IGSF9B
535,2300,FOXL1
536,23007,PLCH1
537,23017,FAIM2
538,2303,FOXC2
539,23030,KDM4B
540,2305,FOXM1
541,23090,ZNF423
542,23101,MCF2L2
543,23105,FSTL4
544,23109,DDN
545,23120,ATP10B
546,23138,N4BP3
547,23158,TBC1D9
