original_gene_id,hugo_symbol,mean_abs_shap_basal,mean_abs_shap_her2,mean_abs_shap_luminal_A,mean_abs_shap_luminal_B,mean_abs_shap_normal,mean_abs_shap_overall
10884,MRPS30,0.0012166105519539757,0.002798760310834673,0.02289616810439467,0.01775843902434612,0.0011223975426426186,0.009158475106834412
10913,EDAR,0.0019059680218631444,0.00805607061726201,0.0015677990357903639,0.007114576285976673,0.011697021253982075,0.006068287042974853
10916,MAGED2,0.00030601740606312497,0.0019364804638228735,0.012318013756593783,0.004535453438718052,0.006152120266003935,0.0050496170662403545
10940,POP1,0.005195674486537186,0.0016644705449310522,0.013863398405609753,0.005844316061433235,0.0011587947866682582,0.005545330857035897
10950,BTG3,0.00236436840652531,0.003436215225563928,0.005964768948985591,0.0013908532117121277,0.0015549197414271379,0.0029422251068428194
10974,ADIRF,0.0033248105109683593,0.009918266177018202,0.00402659976940298,0.0030421796800452487,0.00047532001429836083,0.00415743523034663
10991,SLC38A3,0.006645291490383675,0.015895928411031938,0.005266273222027431,0.005867938974016833,0.01140680033372333,0.009016446486236642
11001,SLC27A2,0.005001324155107578,0.009377997693375552,0.00040169679272536506,0.0007885394381036664,0.003186461184175848,0.0037512038526976016
11004,KIF2C,0.008249535359011554,0.00286705469159173,0.011064940589424819,0.0036095296398699485,0.0036612916546102047,0.005890470386901651
1101,CHAD,0.0017943329187878718,0.010258203260301177,0.011161394676585876,0.008829150259895396,0.00793801754200535,0.007996219731515134
11013,TMSB15A,0.008064442559809986,0.0007636743085206182,0.006523132281507011,0.0058406660918665565,0.0035357869643080483,0.004945540441202444
11026,LILRA3,0.005770875869853505,0.005875442266920186,0.005060945159228521,0.020372562594127893,0.0036652269304562743,0.008149010564117275
11057,ABHD2,0.006663093666683918,0.01288210415133312,0.00942150627879899,0.008200202405354113,0.0019236396352786582,0.00781810922748976
11059,WWP1,0.0003855069930645991,0.016124034723341826,0.010850657960641488,0.005880426072092096,0.00022140767412247325,0.006692406684652497
11065,UBE2C,0.006756766941653412,0.005099733194914298,0.020446149511882346,0.011552311833646186,0.0029626516556231996,0.00936352262754389
11067,DEPP1,0.002463321587037385,0.004160480668544124,6.360933519851256e-05,7.405717163578193e-05,0.0015595060382645907,0.0016641949601360786
11081,KERA,0.006024270527628845,0.0003637853335396638,0.0035164473753897655,0.0029672842285803505,0.006937127490317027,0.003961782991091131
11098,PRSS23,0.0002397667650158348,0.0017755215339545403,0.0013284107857691333,0.006252074225085322,0.005565193100675496,0.0030321932821000654
111,ADCY5,0.004884743449760468,0.0016068084321617863,0.0018451208168220991,0.0014042389664421868,0.0069325089833798806,0.003334684129713284
1111,CHEK1,0.005401255144540895,0.005010425175066061,0.007201199998023965,0.00427569743343453,0.00748621728182199,0.005874959006577488
11122,PTPRT,0.008128533824089703,0.004097788172271878,0.005149391440394242,0.00788363661276472,0.006764936216549293,0.006404857253213968
11130,ZWINT,0.0005065215423806201,0.014901741066762729,0.01526524404610947,0.006000709591471233,0.005130698578831963,0.008360982965111204
11131,CAPN11,0.007199512984470857,0.008473964803104127,0.005277794141838225,0.005942342226025899,0.016338156623560838,0.00864635415579999
11135,CDC42EP1,0.0021982407292069394,0.006605945402735416,0.010607292797677805,0.007553265708280872,0.009356429467771061,0.007264234821134419
1116,CHI3L1,0.0007235142812551574,0.0071554980468205515,0.005588567188173171,0.0006351023467300162,0.012655641959568408,0.00535166476450946
1117,CHI3L2,0.007382678952257386,0.008017777395209856,0.0020971508336460874,0.004284558056554033,0.0028226454571583363,0.004920962138965141
11170,FAM107A,0.000620947283476786,0.004659115510735209,0.002504564065931766,0.00734002241289599,0.008873744929832186,0.004799678840574388
11185,INMT,0.002782347781984457,0.004250871873075678,0.0013487387654911762,0.0023874970764094245,0.0032971930072539625,0.00281332970084294
11197,WIF1,0.0004116349565679164,0.0022940800177753354,0.0004047450539211012,0.011015133141019885,0.013316144128221255,0.005488347459501099
11202,KLK8,0.00338517580693248,0.007287363892086136,0.0061640158632729125,0.018411584055535727,0.0015750413774547232,0.007364636199056397
11226,GALNT6,0.0033553389890742863,0.005197107846982488,0.009029773017278803,0.0018019610812258372,0.009069578543909412,0.0056907518956941655
11227,GALNT5,0.0019836003976394646,0.0009163741238367027,0.008592026552266282,0.004716307220432986,0.004942896377382548,0.0042302409343115965
1124,CHN2,0.0068274250282412624,0.005020796134583262,0.012678862923217932,0.02680674385644533,0.002279702081462959,0.010722706004790148
11240,PADI2,0.001217838169613494,0.021239258449046543,0.0033976500470365473,0.024111038643941728,0.000691925398129311,0.010131542141553524
11247,NXPH4,0.0021076008002792407,0.019187197097732783,0.008853856631619014,0.014688164440306475,0.006462349941654198,0.010259833782318342
112476,PRRT2,0.0030290487706420718,0.009367629503857439,0.004527000976577488,0.01802730231524576,0.0071617059322088795,0.008422537499706327
11248,NXPH3,0.0016313585156247402,0.0076308666081840735,0.0023799129213572037,0.012170875530898684,0.005288594134418761,0.005820321542096692
11254,SLC6A14,0.007215204756710637,0.004894994446202325,0.001132557772068522,0.011059623052131137,0.00760705722376386,0.006381887450175297
112609,MRAP2,0.0038373660117302704,0.0035290150682153487,0.0016773511500276777,0.0024904344270847718,0.00385959052811572,0.003078751437034758
112616,CMTM7,0.0025503394588594643,0.004576075313688736,0.00787964846038506,0.0019452032315331303,0.011850788132223074,0.005760410919337893
112714,TUBA3E,0.0002922303254925512,0.01154658134853481,0.009225000689696117,0.00269625190551515,0.005310072728908422,0.00581402739962941
1128,CHRM1,0.0025994940478934075,0.010358035496730216,0.004502763541424025,0.0005111056034911134,0.002744780055811693,0.004143235749070091
112817,HOGA1,0.005306177648625802,0.0067881599757384364,0.007050209505780226,0.006453786427950295,0.0014097431844466344,0.005401615348508278
11283,CYP4F8,0.009186396705222344,0.007768055220961342,0.009288994230905236,0.005482379916262586,0.0161897900060077,0.009583123215871842
1131,CHRM3,0.008926776753304583,0.002986784962094278,0.00526143611466175,0.004458613364123239,0.002193442552773061,0.004765410749391382
113115,MTFR2,0.005311477056881479,0.0058920978367612,0.005657922189041584,0.014490103342133845,0.020035890691963928,0.010277498223356408
113130,CDCA5,0.005833419453728199,0.0013300792496812154,0.009371806864130715,0.007921955861320384,0.005713670821290514,0.006034186450030206
113177,IZUMO4,0.0024619765170596645,0.008177571260830518,0.009578351921567335,0.006094545231150631,0.005033288678192219,0.006269146721760073
