source,target,source_symbol,target_symbol,correlation,abs_correlation,sign
HORMAD1,DACH1,HORMAD1,DACH1,-0.5499639678783171,0.5499639678783171,negative
HORMAD1,CAPN8,HORMAD1,CAPN8,-0.5628822170213286,0.5628822170213286,negative
KLK5,KLK6,KLK5,KLK6,0.8972854266359789,0.8972854266359789,positive
KLK5,BCL11A,KLK5,BCL11A,0.5900285621213816,0.5900285621213816,positive
KLK5,KLK7,KLK5,KLK7,0.9074362661446819,0.9074362661446819,positive
KLK5,KRT6A,KLK5,KRT6A,0.5118141641742132,0.5118141641742132,positive
KLK6,BCL11A,KLK6,BCL11A,0.6492158453932585,0.6492158453932585,positive
KLK6,KLK7,KLK6,KLK7,0.9025891809461958,0.9025891809461958,positive
KLK6,MUC15,KLK6,MUC15,0.5017294833249557,0.5017294833249557,positive
KLK6,KRT6A,KLK6,KRT6A,0.6031228130556158,0.6031228130556158,positive
PHYHD1,CAPN8,PHYHD1,CAPN8,0.5169029275022323,0.5169029275022323,positive
BCL11A,KLK7,BCL11A,KLK7,0.607044737467158,0.607044737467158,positive
BCL11A,SRARP,BCL11A,SRARP,-0.5300423800325313,0.5300423800325313,negative
BCL11A,CA12,BCL11A,CA12,-0.6241408541720701,0.6241408541720701,negative
BCL11A,AFF3,BCL11A,AFF3,-0.5611107593460734,0.5611107593460734,negative
BCL11A,FSIP1,BCL11A,FSIP1,-0.6143025365878235,0.6143025365878235,negative
BCL11A,DACH1,BCL11A,DACH1,-0.513280709208095,0.513280709208095,negative
KLK7,MUC15,KLK7,MUC15,0.5087017709437942,0.5087017709437942,positive
KLK7,KRT6A,KLK7,KRT6A,0.5918446228893379,0.5918446228893379,positive
SRARP,CA12,SRARP,CA12,0.659716737253232,0.659716737253232,positive
SRARP,AFF3,SRARP,AFF3,0.6247108677073899,0.6247108677073899,positive
SRARP,FSIP1,SRARP,FSIP1,0.6125186283406387,0.6125186283406387,positive
SRARP,DACH1,SRARP,DACH1,0.5915968789289747,0.5915968789289747,positive
SRARP,CAPN8,SRARP,CAPN8,0.5929334622091844,0.5929334622091844,positive
SRARP,ANKRD30B,SRARP,ANKRD30B,0.5088825837195114,0.5088825837195114,positive
CA12,AFF3,CA12,AFF3,0.636475614331698,0.636475614331698,positive
CA12,FSIP1,CA12,FSIP1,0.6744707354261569,0.6744707354261569,positive
CA12,DACH1,CA12,DACH1,0.626276471888287,0.626276471888287,positive
CA12,CAPN8,CA12,CAPN8,0.6044668276432066,0.6044668276432066,positive
CA12,ANKRD30B,CA12,ANKRD30B,0.5321731543381413,0.5321731543381413,positive
ELOVL2,AFF3,ELOVL2,AFF3,0.5401927479088733,0.5401927479088733,positive
AFF3,FSIP1,AFF3,FSIP1,0.7064562822558371,0.7064562822558371,positive
AFF3,DACH1,AFF3,DACH1,0.6937660347924552,0.6937660347924552,positive
AFF3,CAPN8,AFF3,CAPN8,0.5392311021496942,0.5392311021496942,positive
AFF3,ANKRD30B,AFF3,ANKRD30B,0.5086326108300236,0.5086326108300236,positive
FSIP1,DACH1,FSIP1,DACH1,0.6691182005826007,0.6691182005826007,positive
FSIP1,CAPN8,FSIP1,CAPN8,0.5339465181259481,0.5339465181259481,positive
DACH1,CAPN8,DACH1,CAPN8,0.5503754114081174,0.5503754114081174,positive
DACH1,ANKRD30B,DACH1,ANKRD30B,0.5088801107038458,0.5088801107038458,positive
CAPN8,ANKRD30B,CAPN8,ANKRD30B,0.5393545053153563,0.5393545053153563,positive
